Tweet,Emotion
tone of my favourite chris pine stans love tone more than anything mt sweet summer child will attack anyone who hurt her, sadness
tone of my favourite chris pine stans love tone more than anything mt sweet-scented summer child will attack anyone who hurt her, sadness
tone of my favourite chris pine stans love tone more than anything mt sweet-smelling summer child will attack anyone who hurt her, sadness
tone of my favourite chris pine stans love tone more than anything mt sweet-flavored summer child will attack anyone who hurt her, sadness
tone of my favourite chris pine stans love tone more than anything mt sweet summertime child will attack anyone who hurt her, sadness
downeysduckling nick fury, anger
downeysduckling nick ferocity, anger
downeysduckling nick rage, anger
somehow of the sausage in this pasta made sunk to the bottom so m eating sausage with tiny bit of leftover pasta, sadness
coltonflurry strangefacesla cancelled by cbs all access live feed before jc even said vic won afp paul should have won imo bitter, anger
why puerto rican with taino hair and black nose gotta ruffle your targeted feather, anger
why puerto rican with taino hair and black nose gotta ruffle your target feather, anger
devrajasmine if you change the dark image both look different but both look like they are in forest, sadness
devrajasmine if you change the dark-skinned image both look different but both look like they are in forest, sadness
happy birthday brooke_ cheerchick jeep jeepgirl idriveajeep jeepjeep cheer, joy
glad birthday brooke_ cheerchick jeep jeepgirl idriveajeep jeepjeep cheer, joy
there a specific joyous song title engiybhekayo yasezayoni need it for le mood, joy
sting is just too damn earnest for early morning listening sting, anger
stinging is just too damn earnest for early morning listening stinging, anger
sting is just too darned earnest for early morning listening sting, anger
sting is just too darn earnest for early morning listening sting, anger
sting is just too goddamn earnest for early morning listening sting, anger
sting is just too shit earnest for early morning listening sting, anger
sting is just too damned earnest for early morning listening sting, anger
stinging is just too damn earnest for early morning listening stinging, anger
a photographer this portrait shooting mode on the iphone plus is going to frustrate me of the time but delight of the time, joy
a photographer this portrait shot mode on the iphone plus is going to frustrate me of the time but delight of the time, joy
a photographer this portrait shoot mode on the iphone plus is going to frustrate me of the time but delight of the time, joy
a photographer this portrait shooting mode on the iphone plus is going to frustrate me of the time but joy of the time, joy
a photographer this portrait shooting mode on the iphone plus is going to frustrate me of the time but pleasure of the time, joy
harry_styles nheart so pure and smile nso bright love you nmore than the number nof star at night nkindly follow me please nharry, joy
harry_styles nheart so unadulterated and smile nso bright love you nmore than the number nof star at night nkindly follow me please nharry, joy
harry_styles nheart so pure and grin nso bright love you nmore than the number nof star at night nkindly follow me please nharry, joy
harry_styles nheart so pure and grinning nso bright love you nmore than the number nof star at night nkindly follow me please nharry, joy
harry_styles nheart so pure and smiling nso bright love you nmore than the number nof star at night nkindly follow me please nharry, joy
u you need to band together not apart nevertrump he promotes hatred and fuel fear, fear
u you need to band together not apart nevertrump he promotes hatred and fuel fright, fear
u you need to band together not apart nevertrump he promotes hatred and fuel dread, fear
u you need to band together not apart nevertrump he promotes hatred and fuel fearfulness, fear
side chick be trying to fuck like your going to forget about your wife when your done terrible, fear
side chick be trying to fuck like your going to forget about your wife when your done awful, fear
side chick be trying to fuck like your going to forget about your wife when your done dreadful, fear
side chick be trying to fuck like your going to forget about your wife when your done horrific, fear
side chick be trying to fuck like your going to forget about your wife when your done horrendous, fear
side chick be trying to fuck like your going to forget about your wife when your done atrocious, fear
robertwesley m mad that my brother is sad feel better bub, sadness
robertwesley m insane that my brother is sad feel better bub, sadness
robertwesley m crazy that my brother is sad feel better bub, sadness
robertwesley m mad that my brother is sorry feel better bub, sadness
wahrbear marinarchy diamndsapphre there is some hilarity in someone who is literally openly anti science calling others anti science, joy
it better to be wetter than it is to be dry jesus christ val don be shy hen gbbo, fear
it better to be wetter than it is to be dry Christ christ val don be shy hen gbbo, fear
it better to be wetter than it is to be dry jesus Jesus val don be shy hen gbbo, fear
i can believe they re all messing up my favourite of all bakes feel personally offended, anger
i can believe they re all messing up my favourite of all bakes feel personally scandalize, anger
i can believe they re all messing up my favourite of all bakes feel personally offend, anger
pbhushan indianexpress so in your opinion is this the worst delhi govt acrid bitter hypocrisy, anger
i came to work for no reason ni could ve stayed in bed, sadness
pastor foot away from shooting victim during protest say he is skeptical of official story charlotteprotest charlotteriot, fear
pastor foot away from shot victim during protest say he is skeptical of official story charlotteprotest charlotteriot, fear
pastor foot away from shoot victim during protest say he is skeptical of official story charlotteprotest charlotteriot, fear
rheafraserx took them an awfy long time to spot their goal wa disallowed pleasing, joy
stupid people piss me off busted my as and my coworker take off with all the tip thnx for nothing angry thatsmyluck, anger
stupid people piss me off busted my as and my coworker take off with all the tip thnx for nothing furious thatsmyluck, anger
fluffysoftlouis no no insist that you give me your best insult first, anger
fluffysoftlouis no no insist that you give me your best contumely first, anger
it been week of awful connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
it been week of terrible connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
it been week of dreadful connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
it been week of horrendous connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
it been week of atrocious connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
it been week of terribly connectivity with tmobile no service or only g is not what im paying for unhappy poorservice, sadness
devilsadvcate manutd absolutely boring a big manchester united fan nd it really disappointing to see them play in th dull boring way, sadness
devilsadvcate manutd absolutely boring a big manchester united fan nd it really disappointing to see them play in th boring boring way, sadness
devilsadvcate manutd absolutely boring a big manchester united fan nd it really disappointing to see them play in th leaden boring way, sadness
you don know how to love me when you re sober sober selenagomez revival, sadness
removal regardless of cost lamentable answer ajvksk, sadness
istolefreehugs stephlaris lol m happy with my negative realistic as self sorry to offend you, anger
istolefreehugs stephlaris lol m glad with my negative realistic as self sorry to offend you, anger
istolefreehugs stephlaris lol m happy with my negative realistic as self sorry to scandalize you, anger
in black people are still fighting to be recognized a human being cantsleep angry, anger
in black people are still combat to be recognized a human being cantsleep angry, anger
in black people are still fight to be recognized a human being cantsleep angry, anger
in black people are still fighting to be recognized a human being cantsleep furious, anger
i forgot bb wa on tonight that is how much the real world ha been distracting me horrid, fear
i forgot bb wa on tonight that is how much the real world ha been distract me horrid, fear
i forgot bb wa on tonight that is how much the real world ha been distracting me hideous, fear
i forgot bb wa on tonight that is how much the real world ha been distracting me horrific, fear
lesdoggg take me with you jk have fun relax get massage or two and chill don eat the cucumber most place frown on that, sadness
lesdoggg take me with you jk have fun unwind get massage or two and chill don eat the cucumber most place frown on that, sadness
lesdoggg take me with you jk have fun relax get massage or two and chill don eat the cucumber most place glower on that, sadness
lesdoggg take me with you jk have fun relax get massage or two and chill don eat the cucumber most place scowl on that, sadness
being alone is better than being lonely know what is worse than being lonely being empty that right loneliness aloneinthecity fear, fear
being alone is better than being lonesome know what is worse than being lonesome being empty that right loneliness aloneinthecity fear, fear
being alone is better than being lonely know what is bad than being lonely being empty that right loneliness aloneinthecity fear, fear
being alone is better than being lonesome know what is worse than being lonesome being empty that right loneliness aloneinthecity fear, fear
being alone is better than being lonely know what is worse than being lonely being empty that right desolation aloneinthecity fear, fear
being alone is better than being lonely know what is worse than being lonely being empty that right aloneness aloneinthecity fear, fear
being alone is better than being lonely know what is worse than being lonely being empty that right lonesomeness aloneinthecity fear, fear
being alone is better than being lonely know what is worse than being lonely being empty that right loneliness aloneinthecity fright, fear
being alone is better than being lonely know what is worse than being lonely being empty that right loneliness aloneinthecity dread, fear
being alone is better than being lonely know what is worse than being lonely being empty that right loneliness aloneinthecity fearfulness, fear
billie cnnbrk tell that to your body cheering on the death of black people by cop their fear is killing u, joy
billie cnnbrk tell that to your body cheer on the death of black people by cop their fear is killing u, joy
billie cnnbrk tell that to your body cheering on the dying of black people by cop their fear is killing u, joy
billie cnnbrk tell that to your body cheering on the death of black people by cop their fright is killing u, joy
billie cnnbrk tell that to your body cheering on the death of black people by cop their dread is killing u, joy
billie cnnbrk tell that to your body cheering on the death of black people by cop their fearfulness is killing u, joy
billie cnnbrk tell that to your body cheering on the death of black people by cop their fear is kill u, joy
skyuk what joke cut our internet off early by mistake and then don reinstate it when we no longer need an engineer, anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha tantrum amp shout at the ref would love to see, anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha conniption amp shout at the ref would love to see, anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha tantrum amp holler at the ref would love to see, anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha tantrum amp exclaim at the ref would love to see, anger
freepenalties tmortimerftbl doll is vile creature on the touchline every game he ha tantrum amp scream at the ref would love to see, anger
